time,kW
1530367200,0.0
1530367500,0.0
1530367800,0.0
1530368100,0.0
1530368400,0.0
1530368700,0.0
1530369000,0.0
1530369300,0.0
1530369600,0.0
1530369900,0.0
1530370200,0.0
1530370500,0.0
1530370800,0.0
1530371100,0.0
1530371400,0.0
1530371700,0.0
1530372000,0.0
1530372300,0.0
1530372600,0.0
1530372900,0.0
1530373200,0.0
1530373500,0.0
1530373800,0.0
1530374100,0.0
1530374400,0.0
1530374700,0.0
1530375000,0.0
1530375300,0.0
1530375600,0.0
1530375900,0.0
1530376200,0.0
1530376500,0.0
1530376800,0.0
1530377100,0.0
1530377400,0.0
1530377700,0.0
1530378000,0.0
1530378300,0.0
1530378600,0.0
1530378900,0.0
1530379200,0.0
1530379500,0.0
1530379800,0.0
1530380100,0.0
1530380400,0.0
1530380700,0.0
1530381000,0.0
1530381300,0.0
1530381600,0.0
1530381900,0.0
1530382200,0.0
1530382500,0.0
1530382800,0.0
1530383100,0.0
1530383400,0.0
1530383700,0.0
1530384000,0.0
1530384300,0.0
1530384600,0.0
1530384900,0.0
1530385200,0.0
1530385500,0.0
1530385800,0.0
1530386100,0.0
1530386400,0.0
1530386700,0.0
1530387000,0.0
1530387300,0.0
1530387600,0.0
1530387900,0.0
1530388200,0.0
1530388500,0.0
1530388800,0.0
1530389100,0.0
1530389400,0.0
1530389700,0.0
1530390000,0.0
1530390300,0.0
1530390600,0.0
1530390900,0.0
1530391200,0.0
1530391500,0.0
1530391800,0.0
1530392100,0.0
1530392400,0.0
1530392700,0.0
1530393000,0.0
1530393300,0.0
1530393600,0.0
1530393900,0.0
1530394200,0.0
1530394500,0.0
1530394800,-0.18725001161300006
1530395100,-0.26117501004297994
1530395400,-1.0495920163901098
1530395700,-1.7794157483894701
1530396000,-2.10377261675844
1530396300,-2.45503536394329
1530396600,-3.5534592770101296
1530396900,-4.9891102985356905
1530397200,-6.649161081201386
1530397500,-7.9648293832732024
1530397800,-9.546129937709287
1530398100,-12.708891967249107
1530398400,-14.966956636362983
1530398700,-15.860879334954886
1530399000,-15.731961490492312
1530399300,-20.986971765384613
1530399600,-21.686732759950445
1530399900,-23.346645617798842
1530400200,-31.45031112437701
1530400500,-38.04830521172414
1530400800,-41.17780688566989
1530401100,-45.06140773667727
1530401400,-51.43143617800185
1530401700,-51.88616164779576
1530402000,-53.189198276677324
1530402300,-61.28746162982146
1530402600,-66.93344346516196
1530402900,-70.98563875753614
1530403200,-80.953535778966
1530403500,-82.32267077384432
1530403800,-88.70352953491782
1530404100,-95.87078172960726
1530404400,-104.79041953634965
1530404700,-105.26986437232141
1530405000,-115.97741258813173
1530405300,-119.59734427997955
1530405600,-121.98281237272617
1530405900,-119.44898876765726
1530406200,-124.63448990420748
1530406500,-136.84769519120368
1530406800,-144.21754676697742
1530407100,-146.99452386719395
1530407400,-149.27399778922708
1530407700,-154.97483571830318
1530408000,-162.95104669863878
1530408300,-165.58415663278532
1530408600,-161.88845102689172
1530408900,-166.27734668909636
1530409200,-177.59109051489077
1530409500,-176.34680523248443
1530409800,-170.08076480531363
1530410100,-178.77062740920982
1530410400,-185.91843052281075
1530410700,-187.22179646219922
1530411000,-187.80778339185093
1530411300,-183.13003672832394
1530411600,-186.87072175773716
1530411900,-190.83375129961698
1530412200,-198.34165977713943
1530412500,-195.62986579761264
1530412800,-189.11649607953672
1530413100,-191.60640069115843
1530413400,-197.30662618578444
1530413700,-192.8483060143947
1530414000,-191.25278455836337
1530414300,-192.49955596163403
1530414600,-181.73388114340412
1530414900,-178.85247367809686
1530415200,-171.06021114356352
1530415500,-167.22388712008518
1530415800,-173.50423503436323
1530416100,-175.37560923873633
1530416400,-171.0904715349134
1530416700,-172.28260909358752
1530417000,-168.11842426774624
1530417300,-160.21996132089194
1530417600,-154.97272891299542
1530417900,-149.74289971505678
1530418200,-148.48985006367013
1530418500,-142.78782905836934
1530418800,-132.1224522478149
1530419100,-127.33703648417801
1530419400,-125.34304960043568
1530419700,-116.44349050483102
1530420000,-105.30155143441131
1530420300,-99.3172637460042
1530420600,-91.98107197519447
1530420900,-85.03203728640956
1530421200,-76.70645903533217
1530421500,-67.5338128520583
1530421800,-63.22937583476516
1530422100,-60.52998477791485
