time,RRP
1514725200,108.5
1514727000,96.53
1514728800,103.11
1514730600,107.17
1514732400,103.31
1514734200,88.2
1514736000,85.24
1514737800,81.75
1514739600,80.89
1514741400,83.41
1514743200,80.1
1514745000,78.41
1514746800,80.07
1514748600,77.77
1514750400,73.22
1514752200,77.44
1514754000,79.88
1514755800,79.46
1514757600,79.25
1514759400,78.9
1514761200,78.61
1514763000,82.27
1514764800,80.18
1514766600,79.73
1514768400,83.37
1514770200,79.9
1514772000,72.0
1514773800,69.15
1514775600,73.8
1514777400,79.78
1514779200,78.2
1514781000,75.95
1514782800,69.45
1514784600,74.38
1514786400,78.27
1514788200,71.08
1514790000,73.26
1514791800,69.3
1514793600,67.88
1514795400,65.79
1514797200,70.03
1514799000,68.34
1514800800,77.99
1514802600,83.21
1514804400,76.64
1514806200,78.28
1514808000,72.1
1514809800,69.18
1514811600,63.64
1514813400,64.48
1514815200,63.47
1514817000,61.99
1514818800,60.85
1514820600,54.84
1514822400,58.33
1514824200,59.41
1514826000,61.52
1514827800,60.31
1514829600,61.59
1514831400,56.89
1514833200,73.86
1514835000,74.75
1514836800,76.61
1514838600,74.65
1514840400,84.64
1514842200,81.62
1514844000,80.3
1514845800,82.1
1514847600,86.01
1514849400,81.08
1514851200,71.8
1514853000,71.67
1514854800,73.59
1514856600,74.69
1514858400,77.3
1514860200,76.14
1514862000,73.68
1514863800,76.93
1514865600,66.33
1514867400,69.8
1514869200,62.95
1514871000,70.42
1514872800,66.62
1514874600,67.9
1514876400,64.81
1514878200,60.95
1514880000,62.57
1514881800,69.39
1514883600,72.9
1514885400,65.68
1514887200,74.68
1514889000,77.18
1514890800,68.47
1514892600,65.3
1514894400,60.84
1514896200,63.64
1514898000,62.58
1514899800,64.52
1514901600,69.22
1514903400,61.22
1514905200,57.62
1514907000,48.87
1514908800,49.07
1514910600,52.28
1514912400,52.59
1514914200,54.81
1514916000,57.12
1514917800,59.87
1514919600,59.5
1514921400,66.58
1514923200,66.95
1514925000,70.51
1514926800,74.46
1514928600,77.2
1514930400,75.02
1514932200,76.55
1514934000,78.55
1514935800,80.6
1514937600,80.67
1514939400,78.74
1514941200,82.44
1514943000,79.88
1514944800,82.02
1514946600,77.77
1514948400,77.27
1514950200,76.91
1514952000,81.07
1514953800,77.22
1514955600,77.46
1514957400,73.44
1514959200,73.39
1514961000,72.89
1514962800,75.13
1514964600,74.26
1514966400,70.99
1514968200,78.71
1514970000,81.34
1514971800,83.18
1514973600,76.1
1514975400,68.93
1514977200,65.46
1514979000,65.08
1514980800,64.21
1514982600,62.85
1514984400,63.8
1514986200,65.99
1514988000,70.42
1514989800,65.54
1514991600,62.57
1514993400,51.44
1514995200,53.2
1514997000,56.09
1514998800,56.52
1515000600,42.39
1515002400,54.99
1515004200,55.29
1515006000,56.9
1515007800,62.54
1515009600,63.81
1515011400,72.93
1515013200,86.71
1515015000,85.29
1515016800,103.82
1515018600,96.42
1515020400,99.2
1515022200,89.04
1515024000,90.58
1515025800,94.45
1515027600,109.22
1515029400,105.09
1515031200,97.83
1515033000,80.12
1515034800,88.37
1515036600,82.84
1515038400,95.12
1515040200,105.38
1515042000,94.92
1515043800,112.68
1515045600,113.92
1515047400,98.5
1515049200,108.84
1515051000,107.99
1515052800,106.15
1515054600,86.48
1515056400,76.05
1515058200,95.85
1515060000,105.0
1515061800,105.0
1515063600,97.93
1515065400,76.66
1515067200,71.59
1515069000,67.95
1515070800,66.06
1515072600,83.63
1515074400,122.27
1515076200,86.32
1515078000,82.35
1515079800,66.27
1515081600,62.52
1515083400,60.31
1515085200,61.4
1515087000,59.39
1515088800,55.88
1515090600,60.04
1515092400,58.32
1515094200,61.89
1515096000,74.26
1515097800,114.25
1515099600,118.22
1515101400,80.75
1515103200,91.48
1515105000,98.51
1515106800,100.41
1515108600,95.96
1515110400,82.8
1515112200,83.26
1515114000,79.65
1515115800,88.63
1515117600,104.21
1515119400,126.26
1515121200,103.05
1515123000,116.05
1515124800,113.04
1515126600,134.85
1515128400,112.55
1515130200,118.69
1515132000,132.96
1515133800,135.19
1515135600,157.66
1515137400,143.34
1515139200,189.37
1515141000,294.4
1515142800,132.55
1515144600,110.49
1515146400,122.05
1515148200,116.8
1515150000,96.03
1515151800,91.99
1515153600,93.6
1515155400,78.55
1515157200,79.13
1515159000,78.0
1515160800,76.77
1515162600,73.48
1515164400,67.66
1515166200,63.67
1515168000,55.69
1515169800,46.0
1515171600,43.51
1515173400,41.07
1515175200,40.23
1515177000,42.5
1515178800,39.8
1515180600,39.74
1515182400,39.88
1515184200,49.73
1515186000,53.98
1515187800,58.29
1515189600,63.84
1515191400,67.45
1515193200,74.54
1515195000,84.08
1515196800,89.39
1515198600,76.37
1515200400,67.16
1515202200,77.49
1515204000,75.82
1515205800,81.11
1515207600,90.46
1515209400,89.27
1515211200,90.34
1515213000,91.24
1515214800,100.16
1515216600,105.41
1515218400,112.85
1515220200,113.69
1515222000,98.52
1515223800,90.51
1515225600,93.53
1515227400,95.35
1515229200,98.75
1515231000,99.79
1515232800,91.38
1515234600,89.38
1515236400,87.93
1515238200,82.82
1515240000,69.69
1515241800,74.97
1515243600,70.27
1515245400,74.86
1515247200,92.35
1515249000,71.66
1515250800,77.53
1515252600,66.47
1515254400,56.66
1515256200,54.82
1515258000,55.25
1515259800,56.95
1515261600,55.4
1515263400,54.86
1515265200,52.74
1515267000,54.52
1515268800,54.17
1515270600,52.4
1515272400,55.15
1515274200,61.23
1515276000,69.7
1515277800,79.65
1515279600,93.82
1515281400,89.88
1515283200,83.8
1515285000,91.97
1515286800,96.48
1515288600,87.39
1515290400,98.35
1515292200,89.77
1515294000,88.35
1515295800,89.31
1515297600,96.76
1515299400,96.56
1515301200,110.6
1515303000,111.79
1515304800,107.99
1515306600,123.7
1515308400,130.51
1515310200,114.34
1515312000,102.42
1515313800,94.97
1515315600,111.49
1515317400,104.78
1515319200,94.77
1515321000,91.3
1515322800,86.26
1515324600,83.75
1515326400,72.51
