time,kW
1514725200,-0.35162619949595203
1514725500,-0.39400475775597
1514725800,-0.3568078749195339
1514726100,-0.290114341752265
1514726400,-0.2768435163373759
1514726700,-0.27493405019614897
1514727000,-0.257674226558505
1514727300,-0.360393143764651
1514727600,-0.25769528057331004
1514727900,-0.315342459765415
1514728200,-0.3625965195838388
1514728500,-0.24694031059948404
1514728800,-0.26093808515085404
1514729100,-0.283187026266932
1514729400,-0.29641107814850104
1514729700,-0.30406308583816
1514730000,-0.3089833886244269
1514730300,-0.35209293094204097
1514730600,-0.30246109879381194
1514730900,-0.305388892624568
1514731200,-0.3128175176638201
1514731500,-0.24697296733947105
1514731800,-0.28954768790869706
1514732100,-0.316313343831082
1514732400,-0.28334925122020405
1514732700,-0.26605821715445305
1514733000,-0.26195485854473005
1514733300,-0.287462726664287
1514733600,-0.32065901026679594
1514733900,-0.33598928619953383
1514734200,-0.292847201700342
1514734500,-0.30221902287655394
1514734800,-0.3164371427783648
1514735100,-0.27312716819632793
1514735400,-0.23964782963201298
1514735700,-0.253414991089147
1514736000,-0.278074519212197
1514736300,-0.304166844845102
1514736600,-0.4449850737586711
1514736900,-0.296739842149126
1514737200,-0.29472381691989197
1514737500,-0.2993632370280511
1514737800,-0.31276803383281504
1514738100,-0.314931879095514
1514738400,-0.32281733623853
1514738700,-0.277703051586974
1514739000,-0.340312453373082
1514739300,-0.33676029226591503
1514739600,-0.303370692133786
1514739900,-0.2977708463328821
1514740200,-0.368795471742746
1514740500,-0.304598436710042
1514740800,-0.32607996501811
1514741100,-0.3123417908719291
1514741400,-0.35419932470635995
1514741700,-0.33055452753740594
1514742000,-0.44447314978825286
1514742300,-0.39398187991327904
1514742600,-0.4339559761478451
1514742900,-0.365975625404961
1514743200,-0.359364683005964
1514743500,-0.36689235014635896
1514743800,-0.40529129243039996
1514744100,-0.5197882692328512
1514744400,-0.8344331086102851
1514744700,-0.926858065741492
1514745000,-0.9489511308498417
1514745300,-1.0505951069437671
1514745600,-1.5059758586584338
1514745900,-2.5540714415584596
1514746200,-2.809127807294789
1514746500,-3.118284141733455
1514746800,-3.845555316490741
1514747100,-5.213257388007927
1514747400,-6.4306751376290405
1514747700,-7.69939866922809
1514748000,-9.201992077594662
1514748300,-11.087727476935592
1514748600,-13.15148294776106
1514748900,-16.07763024061556
1514749200,-19.84758550347561
1514749500,-23.279513794111175
1514749800,-26.954005431631696
1514750100,-31.586798193966498
1514750400,-34.93491444798762
1514750700,-39.85064157147013
1514751000,-46.03765159535393
1514751300,-51.834017440129806
1514751600,-56.873949274420895
1514751900,-64.07394096181896
1514752200,-72.2457594327703
1514752500,-79.17872418804868
1514752800,-86.35421795481902
1514753100,-95.6106076895955
1514753400,-105.53126269710253
1514753700,-114.71745778572
1514754000,-126.67139782639303
1514754300,-137.51538926398047
1514754600,-147.34397684166404
1514754900,-153.71928451852693
1514755200,-169.1888915616107
1514755500,-179.77804600262994
1514755800,-191.58679295300988
1514756100,-201.2152557136009
1514756400,-212.88256825759592
1514756700,-220.7819876734049
1514757000,-229.71944126755
1514757300,-240.86152266671192
1514757600,-250.41082700480987
1514757900,-259.94459704075786
1514758200,-269.0217589758719
1514758500,-276.47598526159584
1514758800,-284.07073454385056
1514759100,-296.651245204004
1514759400,-303.13638268700896
1514759700,-313.499944973961
1514760000,-323.496469803903
1514760300,-329.9629440630919
1514760600,-339.39116080011695
1514760900,-347.2517787507141
1514761200,-352.7773259397989
1514761500,-353.896786222854
1514761800,-360.088289110058
1514762100,-372.66756654693995
1514762400,-382.5380500840399
1514762700,-385.89351524823996
1514763000,-387.89466578717304
1514763300,-395.06993101345
1514763600,-394.4415747325399
1514763900,-402.2776235565541
1514764200,-401.62013641578494
1514764500,-408.8738013940379
1514764800,-411.84519587609
1514765100,-407.01250208500994
1514765400,-414.17667066171583
1514765700,-412.12058731032505
1514766000,-418.50243169796016
1514766300,-423.3108804629451
1514766600,-404.34498931851
1514766900,-384.3064799806001
1514767200,-388.80381620146204
1514767500,-438.95633094633007
1514767800,-432.68693257281
1514768100,-441.07766790927303
1514768400,-441.6782828451482
1514768700,-401.1812602548
1514769000,-422.13492780362685
1514769300,-432.94265993901314
1514769600,-429.528513505654
1514769900,-450.66372840341495
1514770200,-435.2769452820799
1514770500,-429.28988017568594
1514770800,-414.29694085889685
1514771100,-450.5687327737142
1514771400,-447.46836852825305
1514771700,-421.8567918736099
1514772000,-447.43282884064297
1514772300,-432.3532332334031
1514772600,-441.6394971849461
1514772900,-447.8587681567899
1514773200,-428.0314289471798
1514773500,-444.5472751350691
1514773800,-413.9460614782811
1514774100,-386.1975156662873
1514774400,-368.880992604659
1514774700,-384.089384986284
1514775000,-435.51259837458605
1514775300,-417.60371722718304
1514775600,-427.6665534654322
1514775900,-433.7979802636769
1514776200,-392.087669126344
1514776500,-389.3630343022509
1514776800,-401.9816355860993
1514777100,-412.140209935203
1514777400,-384.92750498646495
1514777700,-400.26017259975697
1514778000,-391.97101515092083
1514778300,-381.6584922629581
1514778600,-388.4228091188521
1514778900,-374.9858734551299
1514779200,-354.432691161887
1514779500,-336.3374341984579
1514779800,-330.4876447726021
1514780100,-330.78183780277794
1514780400,-336.59831009045007
1514780700,-345.933446251455
1514781000,-348.446623638888
1514781300,-353.46751959652005
1514781600,-369.25070330699907
1514781900,-349.6307311478487
1514782200,-334.347756155385
1514782500,-330.663476899008
1514782800,-326.5365461451079
1514783100,-336.52641468057703
1514783400,-340.3143150011069
1514783700,-315.01248572801387
1514784000,-304.87254971079506
1514784300,-294.10279025232614
1514784600,-293.64725763542197
1514784900,-297.905120237096
1514785200,-264.7764513253509
1514785500,-246.16778050681026
1514785800,-238.28454303006455
1514786100,-242.94143542426676
1514786400,-227.9840127746635
1514786700,-224.23548989296452
1514787000,-214.85311078868435
1514787300,-199.3603013168666
1514787600,-178.2174216621134
1514787900,-175.85402963649886
1514788200,-176.44903884588476
1514788500,-181.65849388584343
1514788800,-175.050137994702
1514789100,-154.3299810070449
1514789400,-148.3262683089774
1514789700,-143.94486573738533
1514790000,-139.01173864219072
1514790300,-131.39838153039295
1514790600,-130.47017033818616
1514790900,-124.05006011370978
1514791200,-113.49120467315119
1514791500,-105.7037135425638
1514791800,-102.37074514173345
1514792100,-98.6985845307805
1514792400,-93.12561325755051
1514792700,-84.65709103471586
1514793000,-79.72695830424591
1514793300,-71.25778472532181
1514793600,-65.08680377443892
1514793900,-56.052528819810306
1514794200,-51.66216884517298
1514794500,-45.93410254997739
1514794800,-39.44410240746074
1514795100,-32.62636634474511
1514795400,-28.195349827566993
1514795700,-24.31489001831832
1514796000,-19.854700450541646
1514796300,-16.85902783256918
1514796600,-13.39186327648771
1514796900,-10.271788415473106
1514797200,-7.8901500979661785
1514797500,-5.568946579000728
1514797800,-4.397209331245268
1514798100,-3.537860169100402
1514798400,-3.247521586679039
1514798700,-2.89896030112509
1514799000,-2.709780379927701
1514799300,-2.316134321327469
1514799600,-1.948672014980134
1514799900,-1.2209271113720157
1514800200,-0.8901265714831431
1514800500,-0.47635149472648103
1514800800,-0.30918699937665406
1514801100,-0.39020244957922795
1514801400,-0.331573070658792
1514801700,-0.29876004420168095
1514802000,-0.49531444510565314
1514802300,-0.35209961425843606
1514802600,-0.41700263446962593
1514802900,-0.4259741341387871
1514803200,-0.34110958267732494
1514803500,-0.2779807111666949
1514803800,-0.3464127392058769
1514804100,-0.5352077945567582
1514804400,-0.41337249888362
1514804700,-0.49581943463103395
1514805000,-0.473512693565994
1514805300,-0.433390393895727
1514805600,-0.471560931647405
1514805900,-0.40300645220683895
1514806200,-0.36037020761423005
1514806500,-0.402332924599277
1514806800,-0.3222169423078739
1514807100,-0.3548559839992299
1514807400,-0.41884308183564717
1514807700,-0.373485304121383
1514808000,-0.30846814147861984
1514808300,-0.34712476108061313
1514808600,-0.3253762267837279
1514808900,-0.367223382766439
1514809200,-0.422830092426911
1514809500,-0.410817499140895
1514809800,-0.36506709852394303
1514810100,-0.324919033117193
1514810400,-0.35466872457171694
1514810700,-0.38735742850678795
1514811000,-0.34357688885428206
1514811300,-0.26290613177863104
1514811600,-0.260379573558537
1514811900,-0.41665074221048004
1514812200,-0.444373034095915
1514812500,-0.3182190340376179
1514812800,-0.42388469713982296
1514813100,-0.38824286925081497
1514813400,-0.2976232958826351
1514813700,-0.34299473384829204
1514814000,-0.3315448102725279
1514814300,-0.37209952210034186
1514814600,-0.30554540200455493
1514814900,-0.3399416487888069
1514815200,-0.361829222939255
1514815500,-0.417481993049433
1514815800,-0.379237195603797
1514816100,-0.40275528084668194
1514816400,-0.3304385550339649
1514816700,-0.38010230851828997
1514817000,-0.321136503295016
1514817300,-0.30522317706469315
1514817600,-0.357973098082231
1514817900,-0.344865448698667
1514818200,-0.3450437798842221
1514818500,-0.33336734288571784
1514818800,-0.307055920275133
1514819100,-0.2911893874499569
1514819400,-0.32306800452977197
1514819700,-0.36268345317733297
1514820000,-0.37010855495187295
1514820300,-0.34209165169946293
1514820600,-0.342797326956117
1514820900,-0.31423360486809615
1514821200,-0.313563499853161
1514821500,-0.36661989522034394
1514821800,-0.35738766260732396
